,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA90_SCA,PassLive_SCA Types,PassDead_SCA Types,TO_SCA Types,Sh_SCA Types,Fld_SCA Types,Def_SCA Types,GCA_GCA,GCA90_GCA,PassLive_GCA Types,PassDead_GCA Types,TO_GCA Types,Sh_GCA Types,Fld_GCA Types,Def_GCA Types
0,Abner,br  BRA,DF,Atl Paranaense,21,2000,23.4,56,2.39,45,4,2,1,0,4,6,0.26,4,1,0,1,0,0
1,Adryelson,br  BRA,DF,Botafogo (RJ),23,1998,16.1,11,0.68,6,1,0,4,0,0,0,0.00,0,0,0,0,0,0
2,Adson,br  BRA,"FW,MF",Corinthians,21,2000,13.8,38,2.76,30,1,3,2,1,1,1,0.07,1,0,0,0,0,0
3,Airton,br  BRA,FW,Atl Goianiense,22,1999,19.3,64,3.26,33,9,9,6,4,3,10,0.51,5,0,3,0,2,0
4,Carlos Alberto,br  BRA,"FW,MF",América (MG),19,2002,1.7,2,1.16,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0
5,Yuri Alberto,br  BRA,FW,Corinthians,20,2001,16.1,46,2.85,32,0,3,6,4,1,2,0.12,1,0,0,1,0,0
6,Ale,br  BRA,MF,América (MG),31,1990,21.4,55,2.56,43,1,3,2,4,2,7,0.33,5,0,0,1,0,1
7,Alexandre Alemão,br  BRA,FW,Internacional,23,1998,22.3,66,2.96,35,0,14,4,12,1,15,0.67,8,0,3,1,3,0
8,Alerrandro,br  BRA,FW,Bragantino,22,2000,10.3,25,2.42,15,0,1,5,4,0,3,0.29,1,0,0,2,0,0
9,Alesson,br  BRA,"MF,FW",Cuiabá,22,1999,11.4,28,2.46,19,0,5,3,1,0,3,0.26,0,0,1,1,1,0
10,Alex,br  BRA,DF,Santos,22,1999,3.7,1,0.27,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
11,Caio Alexandre,br  BRA,MF,Fortaleza,22,1999,11.0,28,2.54,27,0,1,0,0,0,3,0.27,3,0,0,0,0,0
12,Matheus Alexandre,br  BRA,DF,Coritiba,22,1999,15.6,23,1.48,20,2,0,0,1,0,2,0.13,1,0,0,0,1,0
13,Alexsander,br  BRA,DF,Fluminense,18,2003,2.5,6,2.40,5,0,0,1,0,0,2,0.80,1,0,0,1,0,0
14,Alisson,br  BRA,"MF,FW",São Paulo,28,1993,10.5,30,2.86,25,2,1,2,0,0,6,0.57,6,0,0,0,0,0
15,Allan,br  BRA,MF,Atlético Mineiro,24,1997,30.4,49,1.61,42,1,0,3,1,2,2,0.07,2,0,0,0,0,0
16,Guilherme Almeida Augusto,br  BRA,DF,Bragantino,29,1993,1.0,3,3.00,1,0,1,0,1,0,0,0.00,0,0,0,0,0,0
17,Henrique Almeida,br  BRA,FW,América (MG),30,1991,16.6,44,2.65,25,0,4,11,3,1,4,0.24,1,0,0,0,2,1
18,Júnior Alonso,py  PAR,DF,Atlético Mineiro,28,1993,28.9,31,1.07,30,0,0,0,0,1,3,0.10,3,0,0,0,0,0
19,Diego Alves,br  BRA,GK,Flamengo,36,1985,4.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
20,Rodrigo Alves Soares,br  BRA,DF,Juventude,29,1992,31.0,67,2.16,59,7,0,0,0,1,1,0.03,1,0,0,0,0,0
21,Anderson,br  BRA,GK,Atl Paranaense,23,1998,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
22,Thonny Anderson,br  BRA,"MF,FW",Coritiba,24,1997,8.1,40,4.94,25,3,8,3,1,0,1,0.12,1,0,0,0,0,0
23,Andrey,br  BRA,MF,Avaí,19,2002,0.3,1,3.10,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
24,Brayan Angulo,ec  ECU,"FW,MF",Santos,26,1995,5.3,8,1.51,7,0,0,1,0,0,1,0.19,1,0,0,0,0,0
25,Apodi,br  BRA,"MF,FW",Goiás,35,1986,10.1,20,1.98,10,0,0,4,5,1,7,0.69,3,0,0,2,2,0
26,Guilherme Arana,br  BRA,DF,Atlético Mineiro,24,1997,19.1,66,3.45,51,8,2,4,1,0,6,0.31,6,0,0,0,0,0
27,Willian Arão,br  BRA,"MF,DF",Flamengo,29,1992,10.2,21,2.05,21,0,0,0,0,0,3,0.29,3,0,0,0,0,0
