,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
0,2022-08-13,21:00,La Liga,Matchweek 1,Sat,Home,D,0.0,0.0,Rayo Vallecano,1.9,0.5,67.0,81104.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
1,2022-08-21,22:00,La Liga,Matchweek 2,Sun,Away,W,4.0,1.0,Real Sociedad,2.1,0.8,58.0,36201.0,Marc-André ter Stegen,3-2-4-1,José Luis Munuera,Match Report,
2,2022-08-28,19:30,La Liga,Matchweek 3,Sun,Home,W,4.0,0.0,Valladolid,2.6,0.8,67.0,83972.0,Sergio Busquets,4-3-3,Ricardo de Burgos,Match Report,
3,2022-09-03,21:00,La Liga,Matchweek 4,Sat,Away,W,3.0,0.0,Sevilla,4.0,1.0,54.0,40233.0,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Match Report,
4,2022-09-07,21:00,Champions Lg,Group stage,Wed,Home,W,5.0,1.0,cz  Viktoria Plzeň,2.3,0.8,76.0,77411.0,Sergi Roberto,4-3-3,Lawrence Visser,Match Report,
5,2022-09-10,18:30,La Liga,Matchweek 5,Sat,Away,W,4.0,0.0,Cádiz,3.4,0.4,70.0,19530.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
6,2022-09-13,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,2.0,de  Bayern Munich,2.0,1.7,53.0,75000.0,Sergio Busquets,4-3-3,Danny Makkelie,Match Report,
7,2022-09-17,16:15,La Liga,Matchweek 6,Sat,Home,W,3.0,0.0,Elche,3.9,0.0,76.0,85073.0,Marc-André ter Stegen,4-3-3,Alejandro Muñíz,Match Report,
8,2022-10-01,21:00,La Liga,Matchweek 7,Sat,Away,W,1.0,0.0,Mallorca,0.7,1.2,71.0,18103.0,Sergio Busquets,4-3-3,Jesús Gil,Match Report,
9,2022-10-04,21:00,Champions Lg,Group stage,Tue,Away,L,0.0,1.0,it  Inter,0.5,0.2,71.0,71368.0,Sergio Busquets,4-3-3,Slavko Vinčič,Match Report,
