,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
0,Patrick van Aanholt,nl  NED,DF,Sunderland,23,1990,25.6,0,,5,,,0.20,,0.00,,0,0
1,Rolando Aarons,eng  ENG,MF,Newcastle Utd,18,1995,1.5,1,,1,,,0.68,,1.00,,0,0
2,Mehdi Abeid,dz  ALG,MF,Newcastle Utd,21,1992,7.4,0,,2,,,0.27,,0.00,,0,0
3,Charlie Adam,sco  SCO,MF,Stoke City,28,1985,16.8,7,,17,,,1.01,,0.35,,1,1
4,Emmanuel Adebayor,tg  TOG,FW,Tottenham,30,1984,9.0,2,,10,,,1.11,,0.20,,0,0
5,Adrián,es  ESP,GK,West Ham,27,1987,37.7,0,,0,,,0.00,,,,,
6,Gabby Agbonlahor,eng  ENG,"FW,MF",Aston Villa,27,1986,29.9,6,,18,,,0.60,,0.33,,0,0
7,Sergio Agüero,ar  ARG,FW,Manchester City,26,1988,28.1,26,,63,,,2.24,,0.33,,5,6
8,Nathan Aké,nl  NED,"DF,MF",Chelsea,19,1995,0.2,0,,0,,,0.00,,,,0,0
9,Chuba Akpom,eng  ENG,FW,Arsenal,18,1995,0.3,0,,2,,,6.00,,0.00,,0,0
10,Marc Albrighton,eng  ENG,"FW,MF",Leicester City,24,1989,11.5,2,,4,,,0.35,,0.50,,0,0
11,Antolín Alcaraz,py  PAR,DF,Everton,32,1982,5.9,0,,0,,,0.00,,,,0,0
12,Toby Alderweireld,be  BEL,DF,Southampton,25,1989,25.1,1,,7,,,0.28,,0.14,,0,0
13,Joe Allen,wal  WAL,MF,Liverpool,24,1990,16.3,1,,2,,,0.12,,0.50,,0,0
14,Jak Alnwick,eng  ENG,GK,Newcastle Utd,21,1993,5.5,0,,0,,,0.00,,,,0,0
15,Jozy Altidore,us  USA,FW,Sunderland,24,1989,3.5,0,,2,,,0.58,,0.00,,0,0
16,Sone Aluko,ng  NGA,"FW,MF",Hull City,25,1989,13.8,1,,12,,,0.87,,0.08,,0,0
17,Ricky Álvarez,ar  ARG,MF,Sunderland,26,1988,5.5,0,,2,,,0.36,,0.00,,0,0
