,Id,Name,Age,Nationality,Club,Value,Wage,Overall,Potential,International Reputation,Position,Jersey Number,Joined,Contract Valid Until,Height,Weight,Likes,Dislikes,Following,Crossing,Finishing,Heading Accuracy,Short Passing,Volleys,Dribbling,Curve,FK Accuracy,Long Passing,Ball Control,Acceleration,Sprint Speed,Agility,Reactions,Balance,Shot Power,Jumping,Stamina,Strength,Long Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive Awareness,Standing Tackle,Sliding Tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Preferred Foot,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Release Clause,ID,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
0,239085,Erling Haaland,19,Norway,Borussia Dortmund,€104.5M,€67K,86,92,2 ★,RS,23,"Jan 1, 2020",2024,6'4,194lbs,982,94,1931,46,92,67,74,84,75,77,62,49,81,82,91,75,86,67,93,70,78,91,85,83,41,88,68,,83,45,40,30,7,14,13,11,7,Left,3 ★,3 ★,High/ High,Unique,Yes,€198.6M,239085,85+2,85+2,85+2,78+0,82+0,82+0,82+0,78+0,78+2,78+2,78+2,75+2,71+2,71+2,71+2,75+2,60+2,61+2,61+2,61+2,60+2,58+2,58+2,58+2,58+2,58+2
1,193165,Jesús Corona,27,Mexico,FC Porto,€45M,€25K,84,84,3 ★,RM,17,"Aug 31, 2015",2022,5'8,137lbs,164,24,765,84,69,71,79,75,89,85,67,71,86,88,81,91,84,87,66,71,90,39,63,73,78,79,78,68,85,77,77,76,11,6,10,14,9,Right,5 ★,4 ★,High/ Medium,Normal (170-185),Yes,€90M,193165,75+3,75+3,75+3,82+0,80+0,80+0,80+0,82+0,81+3,81+3,81+3,82+2,80+3,80+3,80+3,82+2,82+2,77+3,77+3,77+3,82+2,81+3,73+3,73+3,73+3,81+3
2,241788,Mehdi Taremi,27,Iran,FC Porto,€15M,€17K,78,78,1 ★,ST,9,"Aug 31, 2020",2024,6'2,181lbs,17,5,31,68,79,69,73,74,85,73,43,61,83,,,,80,64,79,72,74,76,74,,20,80,72,76,80,36,39,22,9,11,9,15,8,Right,4 ★,4 ★,High/ Medium,Normal (185+),No,€30M,241788,78+0,78+0,78+0,78+0,79+-1,79+-1,79+-1,78+0,77+1,77+1,77+1,77+1,70+2,70+2,70+2,77+1,57+2,55+2,55+2,55+2,57+2,54+2,49+2,49+2,49+2,54+2
3,231747,Kylian Mbappé,21,France,Paris Saint-Germain,€185.5M,€160K,90,95,3 ★,LS,10,"Jul 1, 2018",2022,5'10,161lbs,1211,144,4897,78,91,73,83,83,92,79,63,70,90,96,96,92,92,82,86,77,86,76,79,62,38,91,80,70,84,34,34,32,13,5,7,11,6,Right,4 ★,5 ★,High/ Low,Unique,Yes,€357.1M,231747,88+3,88+3,88+3,89+0,89+0,89+0,89+0,89+0,87+3,87+3,87+3,87+3,79+3,79+3,79+3,87+3,67+3,63+3,63+3,63+3,67+3,63+3,55+3,55+3,55+3,63+3
4,20775,Ricardo Andrade Quaresma Bernardo,36,Portugal,Vitória Guimarães,€5.5M,€12K,79,79,3 ★,LW,10,"Sep 7, 2020",2022,5'9,148lbs,96,10,258,89,64,41,78,80,84,94,71,74,84,74,74,84,76,84,78,63,54,59,78,68,24,77,83,73,82,29,17,11,12,14,10,5,15,Right,4 ★,4 ★,High/ Low,Normal (170-185),No,€11.6M,20775,71+3,71+3,71+3,79+0,77+0,77+0,77+0,79+0,79+0,79+0,79+0,78+1,72+3,72+3,72+3,78+1,55+3,53+3,53+3,53+3,55+3,49+3,40+3,40+3,40+3,49+3
5,135043,Anders Lindegaard,36,Denmark,Helsingborgs IF,€110K,€700,67,67,2 ★,GK,1,"Jul 18, 2019",2021,6'4,187lbs,6,3,31,14,16,28,19,13,17,11,18,28,31,47,52,53,61,54,51,68,25,69,19,32,23,19,50,42,55,23,15,14,68,66,68,64,67,Right,2 ★,1 ★,Medium/ Medium,Normal (185+),Yes,€138K,135043,,,,,,,,,,,,,,,,,,,,,,,,,,
6,252371,Jude Bellingham,17,England,Borussia Dortmund,€9.5M,€6K,74,88,1 ★,CM,22,"Jul 23, 2020",2023,6'1,165lbs,181,14,522,62,68,53,75,60,78,58,45,74,77,78,76,81,75,76,74,75,74,68,67,73,65,68,72,56,73,57,76,53,14,11,10,5,8,Right,4 ★,3 ★,High/ Medium,Lean (185+),No,€22.1M,252371,70+2,70+2,70+2,73+0,73+0,73+0,73+0,73+0,74+2,74+2,74+2,73+2,74+2,74+2,74+2,73+2,69+2,71+2,71+2,71+2,69+2,68+2,66+2,66+2,66+2,68+2
7,210411,Otávio Edmilson da Silva Monteiro,25,Brazil,FC Porto,€34M,€19K,81,84,1 ★,CAM,25,"Sep 1, 2014",2021,5'8,157lbs,57,6,550,79,67,57,79,63,86,80,72,77,85,78,74,85,82,82,73,45,78,,67,77,,77,82,72,81,66,,,11,12,9,10,15,Right,3 ★,4 ★,High/ High,Normal (170-185),Yes,€70.6M,210411,73+2,73+2,73+2,79+0,78+0,78+0,78+0,79+0,80+2,80+2,80+2,80+2,78+2,78+2,78+2,80+2,72+2,72+2,72+2,72+2,72+2,70+2,64+2,64+2,64+2,70+2
8,241486,Jules Koundé,21,France,Sevilla FC,€37.5M,€23K,81,87,1 ★,RCB,12,"Jul 3, 2019",2024,5'11,165lbs,141,12,549,45,32,77,74,32,67,42,26,73,,77,77,71,84,75,41,88,69,79,30,76,84,37,60,43,,83,84,83,11,10,8,14,13,Right,3 ★,2 ★,Medium/ Medium,Normal (170-185),No,€86.3M,241486,57+2,57+2,57+2,61+0,60+0,60+0,60+0,61+0,63+2,63+2,63+2,64+2,68+2,68+2,68+2,64+2,74+2,78+2,78+2,78+2,74+2,76+2,81+2,81+2,81+2,76+2
9,227236,André-Franck Zambo Anguissa,24,Cameroon,Fulham,€15M,€76K,77,81,1 ★,LCM,8,"Aug 9, 2018",2023,6'0,172lbs,51,3,210,58,59,73,81,50,84,59,46,75,79,,78,75,76,76,78,74,78,84,68,84,78,74,74,62,82,70,80,68,11,11,9,8,11,Right,3 ★,3 ★,Medium/ Low,Normal (170-185),Yes,€29.6M,227236,73+2,73+2,73+2,74+0,76+0,76+0,76+0,74+0,76+2,76+2,76+2,75+2,77+2,77+2,77+2,75+2,74+2,77+2,77+2,77+2,74+2,74+2,77+2,77+2,77+2,74+2
