player,tackle,tackle_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribble_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd
Keylor Navas,0,0,0,0,0,0,0,,0,5,2,40.0,5,0,0
Kylian Mbappé,5,2,2,0,3,1,9,11.1,8,108,34,31.5,5,25,78
Marquinhos,19,14,9,8,2,8,22,36.4,14,139,46,33.1,47,68,24
Presnel Kimpembe,37,24,16,19,2,11,17,64.7,6,147,46,31.3,70,63,14
Ángel Di María,19,15,5,8,6,8,28,28.6,20,192,56,29.2,31,69,92
Idrissa Gana Gueye,57,37,22,25,10,19,42,45.2,23,294,101,34.4,91,141,62
Moise Kean,7,7,1,4,2,3,10,30.0,7,120,31,25.8,11,43,66
Mitchel Bakker,35,24,22,8,5,13,19,68.4,6,142,53,37.3,44,60,38
Alessandro Florenzi,21,15,10,7,4,8,26,30.8,18,131,45,34.4,41,48,42
Marco Verratti,30,19,16,9,5,9,44,20.5,35,208,73,35.1,76,82,50
Layvin Kurzawa,30,15,14,11,5,10,25,40.0,15,144,53,36.8,47,57,40
Leandro Paredes,25,20,10,13,2,14,37,37.8,23,122,43,35.2,26,67,29
Ander Herrera,42,25,11,21,10,19,52,36.5,33,301,92,30.6,64,154,83
Abdou Diallo,16,10,8,7,1,4,9,44.4,5,73,25,34.2,32,37,4
Thilo Kehrer,20,12,13,5,2,8,13,61.5,5,129,51,39.5,58,57,14
Rafinha,37,28,10,23,4,14,31,45.2,17,251,75,29.9,56,127,68
Colin Dagba,20,10,5,11,4,7,18,38.9,11,160,50,31.3,46,71,43
Mauro Icardi,5,3,1,3,1,3,9,33.3,6,149,42,28.2,3,44,102
Pablo Sarabia,14,7,3,8,3,7,23,30.4,16,171,46,26.9,29,72,70
Neymar,5,4,0,2,3,2,19,10.5,17,113,38,33.6,12,43,58
Julian Draxler,9,5,3,6,0,3,13,23.1,10,93,20,21.5,19,49,25
Danilo Pereira,6,5,0,6,0,0,6,0.0,6,65,17,26.2,15,44,6
Sergio Rico,0,0,0,0,0,0,0,,0,0,0,,0,0,0
Timothee Pembele,9,7,5,4,0,4,15,26.7,11,60,26,43.3,20,32,8
Juan Bernat,6,2,0,5,1,3,4,75.0,1,38,16,42.1,11,15,12
Kays Ruiz,1,1,1,0,0,1,6,16.7,5,45,11,24.4,12,23,10
Marcin Bułka,0,0,0,0,0,0,0,,0,0,0,,0,0,0
Arnaud Kalimuendo,0,0,0,0,0,0,0,,0,4,1,25.0,0,3,1
Bandiougou Fadiga,1,1,1,0,0,0,0,,0,17,7,41.2,2,8,7
Jesé,0,0,0,0,0,0,1,0.0,1,6,0,0.0,0,4,2
Edouard Michut,0,0,0,0,0,0,0,,0,0,0,,0,0,0
