,Id,Name,Age,Nationality,Club,Value,Wage,Overall,Potential
0,186160,Thomas Cruise,22,England,Torquay United,€100K,€0,59,65
1,228684,Ryan Nyambe,22,Namibia,Blackburn Rovers,€5M,€24K,72,81
2,30110,Dimitar Berbatov,34,Bulgaria,PAOK,€7.5M,€50K,80,80
3,173731,Gareth Bale,30,Wales,Tottenham Hotspur,€29.5M,€170K,82,82
4,242434,Curtis Jones,19,England,Liverpool,€5.5M,€29K,72,86
5,221992,Hirving Lozano,24,Mexico,Napoli,€35M,€71K,81,84
6,246186,Arthur Mendonça Cabral,22,Brazil,FC Basel 1893,€12.5M,€16K,75,85
7,254310,Alejandro Francés Torrijo,17,Spain,Real Zaragoza,€1.7M,€500,65,83
8,245940,Silas Wamangituka,20,DR Congo,VfB Stuttgart,€9.5M,€16K,74,84
9,246174,Harvey Elliott,17,England,Blackburn Rovers,€4M,€9K,70,87
10,232756,Fikayo Tomori,22,England,Milan,€15.5M,€55K,76,85
11,208670,Hakim Ziyech,27,Morocco,Chelsea,€62M,€140K,85,86
12,256630,Florian Wirtz,17,Germany,Bayer 04 Leverkusen,€17M,€7K,76,89
13,245037,Eric García Martret,19,Spain,Manchester City,€11.5M,€42K,75,85
14,239085,Erling Haaland,19,Norway,Borussia Dortmund,€104.5M,€67K,86,92
15,261050,Francisco F. da Conceição,17,Portugal,FC Porto,€2.3M,€500,66,86
16,251854,Pedro González López,17,Spain,FC Barcelona,€17M,€14K,76,90
17,254796,Noni Madueke,18,England,PSV,€7M,€5K,73,87
18,251852,Karim Adeyemi,18,Germany,FC Red Bull Salzburg,€3.6M,€6K,69,86
19,220834,Marco Asensio Willemsen,24,Spain,Real Madrid,€41.5M,€160K,82,85
20,256790,Jamal Musiala,17,England,FC Bayern München,€4M,€4K,70,86
21,242444,João Félix Sequeira,20,Portugal,Atlético Madrid,€80.5M,€61K,83,93
22,259233,Ilaix Moriba,17,Guinea,FC Barcelona,€1.9M,€4K,65,85
23,251517,Joško Gvardiol,18,Croatia,Dinamo Zagreb,€5M,€500,72,87
24,239592,José Juan Macías,20,Mexico,Guadalajara,€12.5M,€34K,75,84
25,241096,Sandro Tonali,20,Italy,Milan,€22M,€25K,77,88
26,246669,Bukayo Saka,18,England,Arsenal,€29.5M,€26K,78,87
27,158023,Lionel Messi,33,Argentina,FC Barcelona,€103.5M,€560K,93,93
28,245211,Jordan Teze,20,Netherlands,PSV,€6M,€10K,73,83
29,230938,Franck Yannick Kessié,23,Ivory Coast,Milan,€27.5M,€37K,80,84
30,245541,Giovanni Reyna,17,United States,Borussia Dortmund,€13M,€6K,75,88
31,253004,Anssumane Fati,17,Spain,FC Barcelona,€17M,€24K,76,90
32,245367,Xavi Simons,17,Netherlands,Paris Saint-Germain,€1.9M,€2K,65,85
33,212198,Bruno Miguel Borges Fernandes,25,Portugal,Manchester United,€121M,€240K,88,91
34,248243,Eduardo Camavinga,17,France,Stade Rennais FC,€29M,€6K,78,89
35,251873,Yusuf Demir,17,Austria,SK Rapid Wien,€2.7M,€1K,66,87
36,251570,Rayan Cherki,16,France,Olympique Lyonnais,€3.5M,€6K,69,88
37,231747,Kylian Mbappé,21,France,Paris Saint-Germain,€185.5M,€160K,90,95
38,256948,Christos Tzolis,18,Greece,PAOK,€4.8M,€500,71,87
39,251804,Sergiño Dest,19,United States,FC Barcelona,€13M,€50K,75,88
40,252371,Jude Bellingham,17,England,Borussia Dortmund,€9.5M,€6K,74,88
41,200104,Heung Min Son,27,Korea Republic,Tottenham Hotspur,€110M,€210K,89,89
42,20801,C. Ronaldo dos Santos Aveiro,35,Portugal,Juventus,€63M,€220K,92,92
43,246104,Ryan Gravenberch,18,Netherlands,Ajax,€17.5M,€6K,76,89
44,234396,Alphonso Davies,19,Canada,FC Bayern München,€53M,€40K,81,89
45,252042,João Pedro Junqueira de Jesus,18,Brazil,Watford,€4.4M,€5K,71,84
46,229558,Dayot Upamecano,21,France,RB Leipzig,€54M,€41K,81,90
47,233049,Jadon Sancho,20,England,Borussia Dortmund,€105.5M,€76K,86,92
48,246147,Mason Greenwood,18,England,Manchester United,€24.5M,€33K,77,89
49,246618,Adam Hložek,17,Czech Republic,Sparta Praha,€9.5M,€500,74,87
50,246045,Pedro De la Vega,19,Argentina,Club Atlético Lanús,€10M,€11K,74,88
51,241486,Jules Koundé,21,France,Sevilla FC,€37.5M,€23K,81,87
52,237692,Phil Foden,20,England,Manchester City,€56.5M,€95K,81,91
53,245371,Thiago Almada,19,Argentina,Vélez Sarsfield,€10M,€9K,74,88
54,247497,Armel Bella Kotchap,18,Germany,VfL Bochum 1848,€2.4M,€2K,67,85
55,242879,Maarten Vandevoordt,18,Belgium,KRC Genk,€2.7M,€550,68,86
56,231936,Ben White,22,England,Brighton & Hove Albion,€15.5M,€40K,76,87
57,240950,Pedro António Pereira Gonçalves,22,Portugal,Sporting CP,€39.5M,€16K,79,87
58,251530,Nuno Albertino Varela Tavares,20,Portugal,SL Benfica,€7M,€7K,73,86
59,213956,Adama Traoré Diarra,24,Spain,Wolverhampton Wanderers,€24M,€80K,79,82
60,221841,Adam Armstrong,23,England,Blackburn Rovers,€11.5M,€38K,75,82
61,222665,Martin Ødegaard,21,Norway,Arsenal,€58.5M,€135K,83,89
62,251470,Charles De Ketelaere,19,Belgium,Club Brugge KV,€7.5M,€13K,73,86
63,233731,Alexander Isak,20,Sweden,Real Sociedad,€33M,€29K,80,86
64,226491,Kieran Tierney,23,Scotland,Arsenal,€33.5M,€65K,79,86
65,239890,Ozan Kabak,20,Turkey,Liverpool,€11.5M,€17K,75,85
66,239818,Rúben Santos Gato Alves Dias,23,Portugal,Manchester City,€41.5M,€110K,82,87
67,228702,Frenkie de Jong,23,Netherlands,FC Barcelona,€102M,€210K,86,91
68,237678,Ibrahima Konaté,21,France,RB Leipzig,€29.5M,€33K,78,88
69,258315,Bright Akwo Arrey-Mbi,17,Germany,Bayern München II,€1.2M,€500,62,85
70,239956,Myron Boadu,19,Netherlands,AZ Alkmaar,€12M,€7K,75,85
71,231677,Marcus Rashford,22,England,Manchester United,€86.5M,€150K,85,91
72,240740,Callum Hudson-Odoi,19,England,Chelsea,€23M,€49K,77,87
73,231447,Donyell Malen,21,Netherlands,PSV,€36M,€19K,79,86
74,252238,Alan Velasco,17,Argentina,Independiente,€4.3M,€2K,71,85
75,246960,Mohamed Ihattaren,18,Netherlands,PSV,€22M,€7K,77,87
76,235790,Kai Havertz,21,Germany,Chelsea,€94.5M,€95K,84,92
77,241464,Pau Francisco Torres,23,Spain,Villarreal CF,€30M,€31K,80,86
78,236987,Boubacar Kamara,20,France,Olympique de Marseille,€25M,€29K,79,85
79,192505,Romelu Lukaku,27,Belgium,Inter,€79.5M,€175K,86,87
80,233419,Raphael Dias Belloli,23,Brazil,Leeds United,€40.5M,€100K,81,87
81,252961,Tanguy Nianzou,18,France,FC Bayern München,€4.1M,€10K,71,85
82,224232,Nicolò Barella,23,Italy,Inter,€61M,€100K,82,89
83,259406,Santiago Muñoz,17,Mexico,Santos Laguna,€575K,€850,60,75
84,247360,Leonidas Stergiou,18,Switzerland,FC St. Gallen,€2.4M,€1K,67,86
85,255475,Antony Matheus dos Santos,20,Brazil,Ajax,€38.5M,€17K,79,88
86,254088,Amad Diallo,17,Ivory Coast,Manchester United,€2.3M,€3K,66,86
87,41236,Zlatan Ibrahimović,38,Sweden,Milan,€14.5M,€54K,84,84
88,212622,Joshua Kimmich,25,Germany,FC Bayern München,€110M,€150K,89,90
89,236772,Dominik Szoboszlai,19,Hungary,RB Leipzig,€23M,€27K,77,87
90,252027,Aster Vranckx,17,Belgium,KV Mechelen,€2.5M,€700,67,85
91,240060,Max Aarons,20,England,Norwich City,€9M,€8K,74,83
92,226166,Nordi Mukiele,22,France,RB Leipzig,€31.5M,€46K,80,86
93,253072,Darwin Núñez,21,Uruguay,SL Benfica,€17M,€11K,76,87
94,206517,Jack Grealish,24,England,Aston Villa,€49.5M,€82K,83,86
95,243630,Jonathan David,20,Canada,LOSC Lille,€23.5M,€29K,77,86
96,231443,Ousmane Dembélé,23,France,FC Barcelona,€57.5M,€175K,83,89
97,234943,Florian Neuhaus,23,Germany,Borussia Mönchengladbach,€40.5M,€42K,81,87
98,253163,Ronald Araujo,21,Uruguay,FC Barcelona,€3.9M,€45K,71,81
99,242418,Tariq Lamptey,19,England,Brighton & Hove Albion,€7M,€20K,73,85
100,242816,Ricard Puig Martí,20,Spain,FC Barcelona,€13.5M,€77K,75,87
101,202126,Harry Kane,26,England,Tottenham Hotspur,€123M,€230K,89,90
102,238744,Weston McKennie,21,United States,Juventus,€17M,€20K,76,85
103,231478,Lautaro Martínez,22,Argentina,Inter,€65.5M,€130K,84,89
104,240273,Emile Smith Rowe,19,England,Arsenal,€7M,€30K,73,85
105,190871,Neymar da Silva Santos Jr.,28,Brazil,Paris Saint-Germain,€132M,€270K,91,91
106,209658,Leon Goretzka,25,Germany,FC Bayern München,€89.5M,€120K,86,89
107,233064,Mason Mount,21,England,Chelsea,€43M,€70K,80,87
108,237681,Takefusa Kubo,19,Japan,Getafe CF,€13.5M,€59K,75,88
109,238794,Vinícius José de Oliveira Júnior,19,Brazil,Real Madrid,€45.5M,€95K,80,90
110,247377,Marcos Antonio Silva Santos,20,Brazil,Shakhtar Donetsk,€7.5M,€650,73,86
111,229261,Denis Zakaria,23,Switzerland,Borussia Mönchengladbach,€42M,€41K,82,87
112,232293,Victor Osimhen,21,Nigeria,Napoli,€39.5M,€54K,79,87
113,226161,Marcos Llorente Moreno,25,Spain,Atlético Madrid,€55.5M,€78K,84,87
114,252037,Fábio Daniel Soares Silva,17,Portugal,Wolverhampton Wanderers,€3.5M,€7K,69,85
