,Player,Nation,Pos,Squad,Age,Born,90s,CrdY_Performance,CrdR_Performance,2CrdY_Performance,Fls_Performance,Fld_Performance,Off_Performance,Crs,Int,TklW,PKwon_Performance,PKcon_Performance,OG_Performance
0,Ignazio Abate,it  ITA,DF,Milan,28,1986,25.0,7,0,,37,,,,,,,,
1,Christian Abbiati,it  ITA,GK,Milan,38,1977,0.8,0,0,,0,,,,,,,,
2,Francesco Acerbi,it  ITA,DF,Sassuolo,27,1988,36.0,3,0,,21,,,,,,,,
3,Robert Acquafresca,it  ITA,FW,Bologna,27,1987,2.3,0,0,,0,,,,,,,,
4,Afriyie Acquah,gh  GHA,MF,Torino,23,1992,21.0,9,0,,39,,,,,,,,
5,Claud Adjapong,it  ITA,"DF,MF",Sassuolo,17,1998,0.2,0,0,,1,,,,,,,,
6,Ali Adnan Kadhim,iq  IRQ,"MF,DF",Udinese,21,1993,21.2,6,0,,39,,,,,,,,
7,Luiz Adriano,br  BRA,FW,Milan,28,1987,13.3,4,0,,17,,,,,,,,
8,Rodrigo Aguirre,uy  URU,FW,Udinese,20,1994,3.8,1,0,,9,,,,,,,,
9,Emmanuel Agyemang-Badu,gh  GHA,MF,Udinese,24,1990,29.6,6,0,,33,,,,,,,,
10,Arlind Ajeti,al  ALB,DF,Frosinone,21,1993,13.5,5,1,,17,,,,,,,,
11,Fabrizio Alastra,it  ITA,GK,Palermo,17,1997,1.6,0,0,,0,,,,,,,,
12,Michelangelo Albertazzi,it  ITA,DF,Hellas Verona,24,1991,7.8,4,0,,16,,,,,,,,
13,Raúl Albiol,es  ESP,DF,Napoli,29,1985,36.0,10,0,,33,,,,,,,,
14,Alex,br  BRA,DF,Milan,33,1982,23.2,5,0,,30,,,,,,,,
15,Allan,br  BRA,MF,Napoli,24,1991,31.3,5,0,,59,,,,,,,,
16,Marcos Alonso,es  ESP,"MF,DF",Fiorentina,24,1990,26.1,8,0,,37,,,,,,,,
17,Ricky Álvarez,ar  ARG,"MF,FW",Sampdoria,27,1988,9.0,2,0,,28,,,,,,,,
18,Amauri,it  ITA,FW,Torino,35,1980,0.1,0,0,,1,,,,,,,,
19,Felipe Anderson,br  BRA,"FW,MF",Lazio,22,1993,23.0,2,0,,33,,,,,,,,
20,Ionuț Andrei Radu,ro  ROU,GK,Inter,,,0.2,0,0,,0,,,,,,,,
21,Cristian Ansaldi,ar  ARG,"MF,DF",Genoa,28,1986,22.3,4,0,,37,,,,,,,,
22,Luca Antei,it  ITA,DF,Sassuolo,23,1992,3.8,2,0,,5,,,,,,,,
23,Luca Antonelli,it  ITA,DF,Milan,28,1987,26.0,2,0,,16,,,,,,,,
24,Siniša Anđelković,si  SVN,DF,Palermo,29,1986,21.2,4,1,,20,,,,,,,,
25,Pablo Armero,co  COL,MF,Udinese,28,1986,4.6,0,0,,10,,,,,,,,
26,Kwadwo Asamoah,gh  GHA,MF,Juventus,26,1988,6.3,1,0,,8,,,,,,,,
27,Davide Astori,it  ITA,DF,Fiorentina,28,1987,32.2,5,0,,39,,,,,,,,
28,Danilo Avelar,br  BRA,MF,Torino,26,1989,3.8,1,0,,7,,,,,,,,
29,Khouma Babacar,sn  SEN,FW,Fiorentina,22,1993,8.9,2,0,,23,,,,,,,,
30,Carlos Bacca,co  COL,FW,Milan,28,1986,35.1,2,0,,30,,,,,,,,
31,Milan Badelj,hr  CRO,MF,Fiorentina,26,1989,23.7,8,1,,38,,,,,,,,
32,Keita Baldé,sn  SEN,FW,Lazio,20,1995,19.7,5,0,,26,,,,,,,,
33,Norbert Balogh,hu  HUN,FW,Palermo,19,1996,0.6,0,0,,4,,,,,,,,
34,Mario Balotelli,it  ITA,FW,Milan,24,1990,9.3,6,0,,26,,,,,,,,
35,Federico Barba,it  ITA,DF,Empoli,21,1993,9.9,3,0,,9,,,,,,,,
36,Francesco Bardi,it  ITA,GK,Frosinone,23,1992,1.3,1,0,,0,,,,,,,,
37,Édgar Barreto,py  PAR,MF,Sampdoria,31,1984,24.0,3,0,,29,,,,,,,,
38,Andrea Barzagli,it  ITA,DF,Juventus,34,1981,30.4,2,0,,8,,,,,,,,
39,Daniele Baselli,it  ITA,MF,Torino,23,1992,25.2,6,0,,48,,,,,,,,
40,Davide Bassi,it  ITA,GK,Atalanta,30,1985,1.0,0,0,,0,,,,,,,,
41,Dušan Basta,rs  SRB,DF,Lazio,30,1984,20.2,1,0,,24,,,,,,,,
42,Vid Belec,si  SVN,GK,Carpi,25,1990,30.0,1,0,,0,,,,,,,,
43,Gianpaolo Bellini,it  ITA,DF,Atalanta,35,1980,10.5,4,0,,20,,,,,,,,
44,Andrea Belotti,it  ITA,FW,Torino,21,1993,28.8,4,0,,66,,,,,,,,
45,Marco Benassi,it  ITA,MF,Torino,20,1994,21.2,7,0,,36,,,,,,,,
46,Accursio Bentivegna,it  ITA,FW,Palermo,19,1996,0.1,1,0,,1,,,,,,,,
47,Francesco Benussi,it  ITA,GK,Carpi,33,1981,3.3,0,0,,0,,,,,,,,
48,Domenico Berardi,it  ITA,FW,Sassuolo,20,1994,24.1,10,1,,40,,,,,,,,
49,Etrit Berisha,al  ALB,GK,Lazio,26,1989,9.7,1,0,,0,,,,,,,,
50,Federico Bernardeschi,it  ITA,MF,Fiorentina,21,1994,25.2,6,0,,33,,,,,,,,
51,Andrea Bertolacci,it  ITA,MF,Milan,24,1991,20.1,6,0,,38,,,,,,,,
52,Davide Bertoncini,it  ITA,DF,Frosinone,24,1991,4.1,1,0,,3,,,,,,,,
53,Jonathan Biabiany,fr  FRA,"MF,FW",Inter,27,1988,9.7,3,0,,8,,,,,,,,
54,Matteo Bianchetti,it  ITA,DF,Hellas Verona,22,1993,17.6,4,0,,25,,,,,,,,
55,Raffaele Bianco,it  ITA,MF,Carpi,27,1987,20.6,6,1,,45,,,,,,,,
56,Lucas Biglia,ar  ARG,MF,Lazio,29,1986,25.5,10,1,,48,,,,,,,,
57,Davide Biondini,it  ITA,MF,Sassuolo,32,1983,12.3,3,0,,17,,,,,,,,
58,Valter Birsa,si  SVN,"MF,FW",Chievo,28,1986,26.3,4,0,,42,,,,,,,,
59,Milan Biševac,rs  SRB,DF,Lazio,31,1983,10.1,0,0,,11,,,,,,,,
60,Luca Bittante,it  ITA,DF,Empoli,21,1993,5.8,0,0,,7,,,,,,,,
61,Albano Bizzarri,ar  ARG,GK,Chievo,37,1977,35.0,2,0,,0,,,,,,,,
62,Leonardo Blanchard,it  ITA,DF,Frosinone,27,1988,27.2,13,1,,32,,,,,,,,
63,Kevin-Prince Boateng,gh  GHA,MF,Milan,28,1987,2.2,1,0,,6,,,,,,,,
64,Giacomo Bonaventura,it  ITA,"MF,FW",Milan,25,1989,31.6,8,0,,43,,,,,,,,
65,Federico Bonazzoli,it  ITA,FW,Sampdoria,18,1997,0.8,0,0,,0,,,,,,,,
66,Leonardo Bonucci,it  ITA,DF,Juventus,28,1987,35.1,6,0,,35,,,,,,,,
67,Cesare Bovo,it  ITA,DF,Torino,32,1983,19.9,10,0,,34,,,,,,,,
68,Edson Braafheid,nl  NED,DF,Lazio,32,1983,3.7,0,0,,6,,,,,,,,
69,Franco Brienza,it  ITA,"MF,FW",Bologna,36,1979,18.7,1,0,,10,,,,,,,,
70,Matteo Brighi,it  ITA,MF,Bologna,34,1981,16.3,3,0,,27,,,,,,,,
71,Alberto Brignoli,it  ITA,GK,Sampdoria,23,1991,1.0,0,0,,0,,,,,,,,
72,Davide Brivio,it  ITA,"DF,MF",Atalanta,27,1988,11.2,2,0,,7,,,,,,,,
73,Željko Brkić,rs  SRB,GK,Carpi,29,1986,3.7,0,0,,0,,,,,,,,
74,Marcelo Brozović,hr  CRO,MF,Inter,22,1992,26.6,7,0,,39,,,,,,,,
75,Gastón Brugman,uy  URU,"MF,FW",Palermo,22,1992,10.8,2,0,,21,,,,,,,,
76,Igor Bubnjić,hr  CRO,DF,Carpi,23,1992,8.0,1,0,,9,,,,,,,,
77,Marcel Büchel,li  LIE,MF,Empoli,24,1991,17.5,10,0,,42,,,,,,,,
