,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh_Standard,SoT_Standard,SoT%_Standard,Sh/90_Standard,SoT/90_Standard,G/Sh_Standard,G/SoT_Standard,Dist_Standard,PK_Performance,PKatt_Performance
0,Issam El Adoua,ma  MAR,DF,Levante,27,1986,3.2,0,,0,,,0.00,,,,0,0
1,Adriano,br  BRA,"DF,MF",Barcelona,29,1984,10.7,0,,3,,,0.28,,0.00,,0,0
2,Aritz Aduriz,es  ESP,FW,Athletic Club,33,1981,28.7,18,,48,,,1.68,,0.27,,5,5
3,Imanol Agirretxe,es  ESP,FW,Real Sociedad,27,1987,21.6,7,,28,,,1.29,,0.25,,0,0
4,Ager Aketxe,es  ESP,MF,Athletic Club,20,1993,3.3,1,,2,,,0.60,,0.50,,0,0
5,Jordi Alba,es  ESP,"DF,MF",Barcelona,25,1989,25.9,1,,9,,,0.35,,0.11,,0,0
6,Edu Albácar,es  ESP,DF,Elche,34,1979,16.0,3,,6,,,0.38,,0.33,,1,1
7,Raúl Albentosa,es  ESP,DF,Eibar,25,1988,17.0,2,,4,,,0.24,,0.50,,0,0
8,Luis Alberto,es  ESP,"FW,MF",Málaga,21,1992,6.5,2,,8,,,1.24,,0.25,,0,1
9,Paco Alcácer,es  ESP,FW,Valencia,20,1993,23.9,11,,27,,,1.13,,0.41,,0,0
10,Alexis,es  ESP,DF,Getafe,28,1985,27.9,1,,4,,,0.14,,0.25,,0,0
11,Cristian Álvarez,ar  ARG,GK,Rayo Vallecano,28,1985,16.0,0,,0,,,0.00,,,,0,0
12,Sergio Álvarez,es  ESP,GK,Celta Vigo,27,1986,37.2,0,,0,,,0.00,,,,0,0
13,Víctor Álvarez,es  ESP,"DF,MF",Espanyol,21,1993,13.6,0,,2,,,0.15,,0.00,,0,0
14,Dani Alves,br  BRA,"DF,MF",Barcelona,31,1983,28.0,0,,4,,,0.14,,0.00,,0,0
15,Diego Alves,br  BRA,GK,Valencia,29,1985,36.8,0,,0,,,0.00,,,,0,0
16,Antonio Amaya,es  ESP,DF,Rayo Vallecano,31,1983,17.6,1,,3,,,0.17,,0.33,,0,0
17,Nordin Amrabat,ma  MAR,"FW,MF",Málaga,27,1987,22.8,6,,20,,,0.88,,0.15,,3,4
18,Florin Andone,ro  ROU,FW,Córdoba,21,1993,16.9,5,,17,,,1.01,,0.29,,0,0
19,José Ángel Alonso,es  ESP,DF,Elche,25,1989,7.4,0,,0,,,0.00,,,,0,0
20,José Ángel Crespo,es  ESP,DF,Córdoba,27,1987,24.0,0,,3,,,0.12,,0.00,,0,0
21,Miguel Ángel Moyá,es  ESP,GK,Atlético Madrid,30,1984,27.0,0,,0,,,0.00,,,,0,0
22,Marcos Angeleri,ar  ARG,DF,Málaga,31,1983,20.9,0,,0,,,0.00,,,,0,0
23,Txema Añibarro,es  ESP,"DF,MF",Eibar,35,1979,12.7,0,,1,,,0.08,,0.00,,0,0
24,Cristian Ansaldi,ar  ARG,"DF,MF",Atlético Madrid,27,1986,6.4,0,,1,,,0.16,,0.00,,0,0
25,Ion Ansotegi,es  ESP,DF,Real Sociedad,32,1982,19.0,0,,0,,,0.00,,,,0,0
26,José Antonio Reyes,es  ESP,MF,Sevilla,30,1983,13.5,3,,10,,,0.74,,0.30,,0,0
27,Vitorino Antunes,pt  POR,DF,Málaga,27,1987,14.7,0,,6,,,0.41,,0.00,,0,0
28,Javier Aquino,mx  MEX,MF,Rayo Vallecano,24,1990,14.1,0,,6,,,0.43,,0.00,,0,0
29,Youssef El-Arabi,ma  MAR,FW,Granada,27,1987,22.0,8,,27,,,1.23,,0.15,,4,4
30,Álvaro Arbeloa,es  ESP,DF,Real Madrid,31,1983,12.5,1,,2,,,0.16,,0.50,,0,0
31,Anaitz Arbilla,es  ESP,DF,Espanyol,27,1987,24.8,1,,6,,,0.24,,0.17,,0,0
32,Mario Arqués,es  ESP,MF,Elche,22,1992,0.1,0,,0,,,0.00,,,,0,0
33,Alejandro Arribas,es  ESP,DF,Sevilla,25,1989,9.6,0,,3,,,0.31,,0.00,,0,0
34,Álvaro Arroyo,es  ESP,DF,Getafe,26,1988,9.9,0,,1,,,0.10,,0.00,,0,0
35,Mikel Arruabarrena,es  ESP,FW,Eibar,31,1983,28.2,9,,18,,,0.64,,0.39,,2,2
36,Sergio Asenjo,es  ESP,GK,Villarreal,25,1989,33.9,0,,0,,,0.00,,,,0,0
37,Iago Aspas,es  ESP,"FW,MF",Sevilla,26,1987,5.1,2,,7,,,1.37,,0.29,,0,0
38,Filipe Augusto,br  BRA,MF,Valencia,20,1993,1.7,0,,2,,,1.21,,0.00,,0,0
39,Jon Aurtenetxe,es  ESP,DF,Athletic Club,22,1992,3.2,0,,0,,,0.00,,,,0,0
40,Ramon Azeez,ng  NGA,MF,Almería,21,1992,9.4,0,,1,,,0.11,,0.00,,0,0
41,Abdoulaye Ba,sn  SEN,DF,Rayo Vallecano,23,1991,17.9,0,,1,,,0.06,,0.00,,0,0
42,Jean-Sylvain Babin,mq  MTQ,DF,Granada,27,1986,33.7,1,,4,,,0.12,,0.25,,0,0
43,Carlos Bacca,co  COL,FW,Sevilla,27,1986,28.2,20,,42,,,1.49,,0.33,,6,8
44,Raúl Baena,es  ESP,MF,Rayo Vallecano,25,1989,25.9,2,,5,,,0.19,,0.40,,0,0
45,Gareth Bale,wal  WAL,"FW,MF",Real Madrid,25,1989,28.6,13,,40,,,1.40,,0.30,,1,1
46,Mikel Balenziaga,es  ESP,DF,Athletic Club,26,1988,32.4,0,,2,,,0.06,,0.00,,0,0
47,Éver Banega,ar  ARG,MF,Sevilla,26,1988,24.4,3,,12,,,0.49,,0.25,,0,0
48,Léo Baptistão,br  BRA,"FW,MF",Rayo Vallecano,21,1992,19.7,7,,17,,,0.86,,0.41,,0,0
49,Mariano Barbosa,ar  ARG,GK,Sevilla,30,1984,1.8,0,,0,,,0.00,,,,0,0
50,Antonio Barragán,es  ESP,"DF,MF",Valencia,27,1987,31.6,1,,1,,,0.03,,1.00,,0,0
51,David Barral,es  ESP,FW,Levante,31,1983,29.2,11,,23,,,0.79,,0.39,,2,2
52,Marc Bartra,es  ESP,DF,Barcelona,23,1991,11.5,1,,4,,,0.35,,0.25,,0,0
53,Bebé,pt  POR,"FW,MF",Córdoba,24,1990,16.2,0,,16,,,0.99,,0.00,,0,0
54,Karim Benzema,fr  FRA,FW,Real Madrid,26,1987,25.3,15,,36,,,1.42,,0.42,,0,0
55,Yuri Berchiche,es  ESP,DF,Real Sociedad,24,1990,16.3,0,,1,,,0.06,,0.00,,0,0
56,Álex Bergantiños,es  ESP,MF,La Coruña,29,1985,29.4,0,,1,,,0.03,,0.00,,0,0
57,Markel Bergara,es  ESP,MF,Real Sociedad,28,1986,23.6,1,,4,,,0.17,,0.25,,0,0
