player,tackle,tackle_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribble_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd
Keylor Navas,0,0,0,0,0,0,0,,0,5,2,40.0,5,0,0
Kylian Mbappé,5,2,2,0,3,1,9,11.1,8,115,37,32.2,5,29,81
Marquinhos,19,14,9,8,2,8,23,34.8,15,141,48,34.0,47,70,24
Presnel Kimpembe,39,26,16,21,2,11,17,64.7,6,157,53,33.8,72,70,15
Ángel Di María,20,16,5,8,7,8,28,28.6,20,197,58,29.4,32,71,94
Idrissa Gana Gueye,57,37,22,25,10,19,42,45.2,23,290,98,33.8,90,139,61
Moise Kean,7,7,1,4,2,3,10,30.0,7,120,31,25.8,11,43,66
Mitchel Bakker,35,24,22,8,5,13,19,68.4,6,142,53,37.3,44,60,38
Alessandro Florenzi,21,15,10,7,4,8,26,30.8,18,132,45,34.1,41,49,42
Marco Verratti,36,23,17,14,5,9,47,19.1,38,230,80,34.8,84,94,52
Layvin Kurzawa,30,15,14,11,5,10,25,40.0,15,144,53,36.8,48,57,39
Abdou Diallo,17,10,8,8,1,5,10,50.0,5,84,29,34.5,35,43,6
Leandro Paredes,24,19,10,12,2,14,37,37.8,23,127,44,34.6,28,68,31
Ander Herrera,42,25,11,21,10,19,52,36.5,33,298,91,30.5,64,152,82
Rafinha,38,29,10,24,4,14,31,45.2,17,247,73,29.6,57,124,66
Thilo Kehrer,20,12,13,5,2,8,15,53.3,7,136,52,38.2,59,59,18
Colin Dagba,22,11,5,12,5,9,21,42.9,12,165,53,32.1,49,71,45
Mauro Icardi,5,3,1,3,1,3,9,33.3,6,142,39,27.5,3,45,94
Pablo Sarabia,14,7,3,8,3,7,23,30.4,16,164,46,28.0,28,68,68
Neymar,5,4,0,2,3,2,18,11.1,16,113,38,33.6,12,44,57
Danilo Pereira,8,6,0,8,0,1,7,14.3,6,75,20,26.7,17,51,7
Julian Draxler,9,5,3,6,0,3,13,23.1,10,97,21,21.6,19,52,26
Sergio Rico,0,0,0,0,0,0,0,,0,0,0,,0,0,0
Timothee Pembele,9,7,5,4,0,4,15,26.7,11,60,26,43.3,20,32,8
Juan Bernat,6,2,0,5,1,3,4,75.0,1,38,16,42.1,11,15,12
Kays Ruiz,1,1,1,0,0,1,6,16.7,5,45,11,24.4,12,23,10
Marcin Bułka,0,0,0,0,0,0,0,,0,0,0,,0,0,0
Arnaud Kalimuendo,0,0,0,0,0,0,0,,0,4,1,25.0,0,3,1
Bandiougou Fadiga,1,1,1,0,0,0,0,,0,17,7,41.2,2,8,7
Jesé,0,0,0,0,0,0,1,0.0,1,6,0,0.0,0,4,2
Edouard Michut,0,0,0,0,0,0,0,,0,0,0,,0,0,0
