Player,Gls,xG,TotalS,TotalS/90,SonTar,SonT/90
Keylor Navas,0,0.0,0,0.00,0,0.00
Kylian Mbappé,18,17.7,67,3.37,32,1.61
Marquinhos,1,1.1,11,0.62,6,0.34
Presnel Kimpembe,0,0.2,4,0.23,1,0.06
Ángel Di María,4,3.9,42,2.68,13,0.83
Idrissa Gana Gueye,2,0.6,16,1.10,6,0.41
Moise Kean,11,8.7,40,2.77,17,1.18
Mitchel Bakker,0,0.1,1,0.07,1,0.07
Alessandro Florenzi,2,2.0,19,1.34,7,0.49
Marco Verratti,0,1.0,9,0.64,4,0.29
Layvin Kurzawa,1,0.7,11,0.85,2,0.16
Abdou Diallo,0,0.2,3,0.24,0,0.00
Leandro Paredes,0,0.4,16,1.41,5,0.44
Ander Herrera,1,0.7,14,0.97,3,0.21
Rafinha,0,1.1,20,1.70,7,0.60
Thilo Kehrer,0,0.7,6,0.48,0,0.00
Colin Dagba,1,0.3,7,0.61,1,0.09
Mauro Icardi,5,8.1,34,3.30,11,1.07
Pablo Sarabia,5,3.7,28,2.45,15,1.31
Neymar,6,8.1,41,4.26,11,1.14
Danilo Pereira,1,1.0,12,1.33,2,0.22
Julian Draxler,4,1.7,9,1.00,5,0.56
Sergio Rico,0,0.0,0,0.00,0,0.00
Timothee Pembele,1,1.0,4,0.95,2,0.48
Juan Bernat,0,0.0,0,0.00,0,0.00
Kays Ruiz,0,0.1,2,0.97,0,0.00
Marcin Bułka,0,0.0,0,0.00,0,0.00
Arnaud Kalimuendo,0,0.4,2,2.47,1,1.23
Bandiougou Fadiga,0,0.1,1,1.43,1,1.43
Jesé,0,0.0,0,0.00,0,0.00
Edouard Michut,0,0.0,0,0.00,0,0.00
